,Book-Title,Book-Rating,Book-Author,Image-URL-M
0,Harry Potter and the Prisoner of Azkaban (Book 3),428,J. K. Rowling,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg
3,Harry Potter and the Goblet of Fire (Book 4),387,J. K. Rowling,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg
5,Harry Potter and the Sorcerer's Stone (Book 1),278,J. K. Rowling,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg
9,Harry Potter and the Order of the Phoenix (Book 5),347,J. K. Rowling,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg
13,Ender's Game (Ender Wiggins Saga (Paperback)),249,Orson Scott Card,http://images.amazon.com/images/P/0312853238.01.MZZZZZZZ.jpg
17,Harry Potter and the Chamber of Secrets (Book 2),556,J. K. Rowling,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg
20,The Hobbit : The Enchanting Prelude to The Lord of the Rings,281,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg
21,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",368,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg
30,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),575,J. K. Rowling,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg
32,"The Two Towers (The Lord of the Rings, Part 2)",260,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg
43,To Kill a Mockingbird,510,Harper Lee,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
51,The Da Vinci Code,898,Dan Brown,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg
57,The Five People You Meet in Heaven,430,Mitch Albom,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg
59,The Catcher in the Rye,449,J.D. Salinger,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg
66,"The Return of the King (The Lord of the Rings, Part 3)",211,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339738.01.MZZZZZZZ.jpg
76,The Lovely Bones: A Novel,1295,Alice Sebold,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg
77,The Great Gatsby,205,F. Scott Fitzgerald,http://images.amazon.com/images/P/185326041X.01.MZZZZZZZ.jpg
79,1984,284,George Orwell,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg
88,Prodigal Summer: A Novel,253,Barbara Kingsolver,http://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg
89,Neverwhere,265,Neil Gaiman,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg
